Unique_User_ID,Age,Dependents,Employment_Status,City_Tier,Month,Monthly_Income,Rent,Loan_Repayment,Insurance,Subscriptions,Groceries,Travel,Going_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Total_Expenses,Monthly_Savings,Savings,Investments,Net_Worth,Financial_Goals,Needs,Wants,Savings_Investment_Total,Debt,Total_Liabilities
BBUK000001,18,1,Part-time,1,7,1000,280,71,14,6,119,63,41,32,51,14,16,27,734,266,10,2,-8836,Travel,603,131,11,7145,8848
BBUK000002,57,1,Self-employed,3,7,2366,0,536,77,20,376,142,71,57,142,77,51,120,1670,696,5579,12770,200878,Retirement,1345,325,18349,902,132608
BBUK000003,52,0,Unemployed,1,5,3103,940,48,82,21,303,212,76,61,170,82,18,127,2141,962,3141,4596,-286,Emergency fund,1771,370,7737,4786,8023
BBUK000004,21,1,Full-time,1,7,3548,1234,12,60,28,525,279,179,139,223,60,72,119,2930,618,1136,290,-4491,Buy a house,2353,577,1426,1179,5916
BBUK000005,70,1,Part-time,3,1,2100,0,525,77,20,376,143,71,57,143,77,51,120,1660,440,1005,1522,192765,Education,1335,325,2527,3088,194432
BBUK000006,30,2,Full-time,2,10,1603,442,126,24,11,264,80,72,56,90,24,29,68,1288,315,2671,785,-9337,Buy a house,1048,240,3455,12642,12792
BBUK000007,32,1,Full-time,2,2,10812,2695,183,265,118,1294,490,441,343,549,147,176,412,7112,3700,15546,4043,-2195,Start a business,5603,1509,19589,18277,21783
BBUK000008,28,2,Full-time,1,12,57608,15751,261,1372,610,8333,3557,2286,1778,2845,762,915,2134,40603,17005,86113,35081,91496,Buy a house,32372,8231,121194,26067,29698
BBUK000009,37,0,Self-employed,2,4,2383,910,95,50,23,331,165,83,66,185,50,20,99,2076,307,623,538,-9590,Buy a house,1738,337,1162,9468,10752
BBUK000010,28,0,Full-time,2,9,9766,0,526,283,126,1048,524,472,367,587,157,63,440,4592,5174,28533,5035,165079,Emergency fund,2978,1614,33569,2624,127526
BBUK000011,38,0,Full-time,2,7,1888,552,121,30,14,201,100,50,40,112,30,12,84,1347,542,2536,2169,-11031,Retirement,1118,229,4705,12054,15736
BBUK000012,65,1,Full-time,2,6,27566,6805,141,965,297,3266,1237,619,495,1386,668,445,1039,17364,10202,65355,112810,162317,Emergency fund,14419,2945,178165,14112,15848
BBUK000013,44,1,Student,2,1,3169,960,295,94,24,461,174,87,70,195,52,140,147,2700,469,1136,1012,-28667,Retirement,2302,398,2148,29498,30815
BBUK000014,71,2,Full-time,1,1,3132,0,513,132,34,804,343,123,98,274,132,88,147,2689,443,2263,4012,124677,Travel,2150,539,6275,7675,116661
BBUK000015,44,3,Part-time,1,3,1040,259,190,23,6,164,58,21,17,47,13,15,35,847,193,1822,1372,-19454,Retirement,745,102,3194,19001,22648
BBUK000016,34,1,Full-time,2,7,3544,968,201,53,25,465,176,158,123,197,53,63,148,2631,913,5946,1049,-14698,Buy a house,2106,525,6996,20116,21693
